id,abbyy_variant_id,abbyy_variant_name,shipment_type,zero
254,254,Jas-export,Export,2
255,255,Jas-import,Import,2
256,256,Jasteer-export,Export,2
257,257,JetspeedUSA-import,Import,2
258,258,JosephIndustries-export,Export,2
259,259,JsConnor-export,Export,2
260,260,JsConnor-import,Import,2
261,261,KchTrans-export,Export,2
262,262,KerryLogistics-export,Export,2
263,263,Labconco-export,Export,3
264,264,LandOLakes-export,Export,2
265,265,Laufan-export,Export,2
266,266,Leman-export,Export,2
267,267,LittleRapids-export,Export,2
268,268,LivingstoneIntl-import,Import,2
269,269,LloydIntl-export,Export,2
270,270,LRInternational-export,Export,2
271,271,LusterProducts-export,Export,2
272,272,Lynden-export,Export,2
273,273,Lynden-import,Import,2
274,274,MainFreightUSA-export,Export,2
275,275,MainFreightUSA-import,Import,2
276,276,MalloryGroup-export,Export,2
277,277,MAOInc-import,Import,2
278,278,MasterPieceIntl-import,Import,2
279,279,MBSLogisticsUSA-import,Import,2
280,280,MeaaMea-export,Export,2
281,281,Medey-export,Export,2
282,282,Medey-import,Import,2
283,283,MeierDutch-import,Import,2
284,284,MeritAutomotive-export,Export,3
285,285,MGCarson-import,Import,2
286,286,MisAirTiger-import,Import,2
287,287,MLAC-export,Export,2
288,288,MohawkGlobal-export,Export,2
289,289,MohawkGlobal-import,Import,2
290,290,MOLLogistics-export,Export,2
291,291,MOLLogistics-import,Import,2
292,292,MTALines-import,Import,2
293,293,NewMarineNYC-export,Export,2
294,294,NipponExpress-import,Import,2
295,295,NiteoProducts-export,Export,2
296,296,Nitto-export,Export,2
297,297,Nittsu-export,Export,2
298,298,NKInc-import,Import,2
299,299,NNRUSA-export,Export,2
300,300,NoMatch-export,Export,2
301,301,NoMatch-import,Import,2
302,302,NossLog-import,Import,2
303,303,NTGAirOcean-export,Export,2
304,304,NTGAirOcean-import,Import,2
305,305,OdysseyLogistics-export,Export,2
306,306,Oglus-export,Export,2
307,307,OIAGlobal-import,Import,2
308,308,OIAGlobal-export,Export,2
309,309,OLUSA-import,Import,2
310,310,OLUSA-export,Export,2
311,311,OmniTrans-import,Import,2
312,312,ONE-export,Export,2
313,313,OneLine-import,Import,2
314,314,OrionMarineUSA-export,Export,2
315,315,OTSUSA-import,Import,2
316,316,Panalpina-export,Export,2
317,317,ParagonPackaging-export,Export,2
318,318,PegasusLogistics-export,Export,2
319,319,PegasusLogistics-import,Import,2
320,320,PremPack-import,Import,2
321,321,PrimaryFreight-export,Export,2
322,322,RDDFreight-export,Export,2
323,323,Resacc-import,Import,2
324,324,RimLogistics-export,Export,2
325,325,RimLogistics-import,Import,2
326,326,Rohlig-export,Export,2
327,327,Rohlig-import,Import,2
328,328,RRD-export,Export,2
329,329,Scanwell-import,Import,2
330,330,SCSolutionsInc-export,Export,2
331,331,SeaCo-export,Export,2
332,332,SeaCorpNC-export,Export,2
333,333,SeagateContainerLine-export,Export,2
334,334,SeaLink-export,Export,2
335,335,SekoLogistics-export,Export,2
336,336,SekoLogistics-import,Import,2
337,337,Shapiro-export,Export,3
338,338,Shapiro-import,Import,2
339,339,ShipBlock-import,Import,2
340,340,Shipco-export,Export,3
341,341,Shipco-import,Import,3
342,342,ShipPGL-import,Import,2
343,343,ShipRose-export,Export,2
344,344,SmithCo-export,Export,2
345,345,SourceBMX-import,Import,2
346,346,SpeedMark-import,Import,2
347,347,SpiritORD-export,Export,2
348,348,SprintGlobal-export,Export,2
349,349,StarAsia-import,Import,2
350,350,SteeleLogistics-export,Export,2
351,351,SteeleLogistics-import,Import,2
352,352,Stockwell-export,Export,2
353,353,SweetWater-import,Import,2
354,354,TandemGlobalLogistics-import,Import,2
355,355,TDMCOM-export,Export,2
356,356,TeamThreeGroup-import,Import,3
357,357,ThunderboltGlobal-export,Export,2
358,358,TollGroup-export,Export,2
359,359,TomaxGroup-export,Export,3
360,360,TomaxGroup-import,Import,2
361,361,TPICHS-export,Export,2
362,362,TransATL-import,Import,2
363,363,TransContainerUSA-export,Export,2
364,364,TransGroup-export,Export,2
365,365,TransGroup-import,Import,2
366,366,Tristavet-export,Export,2
367,367,TroyLines-export,Export,2
368,368,Trustord-import,Import,2
369,369,TTSWorldwide-export,Export,2
370,370,Ufoltd-export,Export,2
371,371,UniqueUSA-import,Import,2
372,372,USAirTiger-import,Import,2
373,373,USHellmann-export,Export,2
374,374,USHHExpress-import,Import,2
375,375,USKLineLogistics-import,Import,2
376,376,USRhenus-import,Import,2
377,377,USRTWLogistics-import,Import,2
378,378,USYusenLogistics-import,Import,2
379,379,USFFCL-export,Export,3
380,380,USFFCL-export,Export,3
381,381,USFFCL-import,Import,2
382,382,USLogFret-import,Import,2
383,383,UTCoverSeas-import,Import,3
384,384,ValleyExp-import,Import,2
385,385,Vanguard-export,Export,2
386,386,Vetanaserra-import,Import,2
387,387,VistaGlobal-import,Import,2
388,388,VLSCI-import,Import,2
389,389,WesternOverSeas-import,Import,2
390,390,WestForwarding-export,Export,2
391,391,WestForwarding-import,Import,2
392,392,WoodlandGroup-import,Import,2
393,393,WorldwideLP-export,Export,2
394,394,WorldwideLP-import,Import,2
395,395,WTAGroup-import,Import,2
396,396,WWILogistics-import,Import,2
397,397,XPO-export,Export,2
398,398,XPO-import,Import,3
399,399,MalloryAlexanderLogistics-import,Import,2
400,400,Allianceshipper-crosstown,crosstown,3
401,401,DynastyOrd-import,Import,2
402,402,Dray360Multi-import,Import,2
